type;language;license;rightsHolder;accessRights;datasetID;datasetName;institutionCode;parentEventID;informationWithheld;dataGeneralizations;eventID;samplingProtocol;eventDate;eventRemarks;locationID;continent;countryCode;locality;georeferenceRemarks;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;geodeticDatum
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000154;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001053;dragonfly population count;2016-06-20;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002738;Europe;BE;Catselt;coordinates are centroid of used grid square;51.00640;5.03116;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000156;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001073;dragonfly population count;2016-06-23;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002750;Europe;BE;Wik;coordinates are centroid of used grid square;50.95327;5.45602;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000169;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001185;dragonfly population count;2016-06-07;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002745;Europe;BE;Buitengoor;coordinates are centroid of used grid square;51.22848;5.18416;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000170;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001187;dragonfly population count;2016-06-22;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002745;Europe;BE;Buitengoor;coordinates are centroid of used grid square;51.22848;5.18416;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000171;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001189;dragonfly population count;2016-06-07;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002746;Europe;BE;Maat Klein Verkaillen;coordinates are centroid of used grid square;51.22848;5.18416;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000172;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001191;dragonfly population count;2016-06-22;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002746;Europe;BE;Maat Klein Verkaillen;coordinates are centroid of used grid square;51.22848;5.18416;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000174;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001195;dragonfly population count;2016-06-10;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002744;Europe;BE;Ronde Put;coordinates are centroid of used grid square;51.27341;5.18629;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000175;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001197;dragonfly population count;2016-06-22;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002744;Europe;BE;Ronde Put;coordinates are centroid of used grid square;51.27341;5.18629;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000201;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001238;dragonfly population count;2016-07-03;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002743;Europe;BE;Zegge;coordinates are centroid of used grid square;51.18736;4.96756;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000202;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001240;dragonfly population count;2016-07-04;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002741;Europe;BE;Grobbendonk Engels Kamp sectie 15;coordinates are centroid of used grid square;51.19077;4.75303;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000537;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:003598;dragonfly population count;2016-09-03;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002725;Europe;BE;Hageven noord Stenen brug;coordinates are centroid of used grid square;51.26920;5.40115;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000848;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:005402;dragonfly population count;2016-08-17;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002725;Europe;BE;Hageven noord Stenen brug;coordinates are centroid of used grid square;51.26920;5.40115;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000538;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:003600;dragonfly population count;2016-08-27;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002726;Europe;BE;Hageven Hageven;coordinates are centroid of used grid square;51.26920;5.40115;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000516;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:003418;dragonfly population count;2016-08-13;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002726;Europe;BE;Hageven Hageven;coordinates are centroid of used grid square;51.26920;5.40115;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000517;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:003420;dragonfly population count;2016-08-23;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002726;Europe;BE;Hageven Hageven;coordinates are centroid of used grid square;51.26920;5.40115;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000518;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:003422;dragonfly population count;2016-08-28;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002726;Europe;BE;Hageven Hageven;coordinates are centroid of used grid square;51.26920;5.40115;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000534;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:003592;dragonfly population count;2016-09-01;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002726;Europe;BE;Hageven Hageven;coordinates are centroid of used grid square;51.26920;5.40115;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000472;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:003169;dragonfly population count;2016-08-07;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002727;Europe;BE;Wijvenheide noord;coordinates are centroid of used grid square;51.00110;5.31600;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000473;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:003171;dragonfly population count;2016-08-17;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002727;Europe;BE;Wijvenheide noord;coordinates are centroid of used grid square;51.00110;5.31600;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000474;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:003173;dragonfly population count;2016-08-01;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002728;Europe;BE;Wijvenheide zuid;coordinates are centroid of used grid square;51.00110;5.31600;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000475;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:003175;dragonfly population count;2016-08-19;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002728;Europe;BE;Wijvenheide zuid;coordinates are centroid of used grid square;51.00110;5.31600;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000476;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:003177;dragonfly population count;2016-08-19;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002729;Europe;BE;Platwijers grote wijer;coordinates are centroid of used grid square;50.95617;5.31377;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000477;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:003179;dragonfly population count;2016-08-01;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002729;Europe;BE;Platwijers grote wijer;coordinates are centroid of used grid square;50.95617;5.31377;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000405;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:002338;dragonfly population count;2016-08-07;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002730;Europe;BE;Bankei Grote Netewoud;coordinates are centroid of used grid square;51.18220;5.25352;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000452;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:002982;dragonfly population count;2016-08-17;data collected in the Kempense heidelibel project;INBO:MEETNET:LOCATION:002730;Europe;BE;Bankei Grote Netewoud;coordinates are centroid of used grid square;51.18220;5.25352;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000082;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 10km grid;INBO:MEETNET:EVENT:000624;dragonfly population count;2016-05-28;data collected in the Maanwaterjuffer project;INBO:MEETNET:LOCATION:002731;Europe;BE;Kleine Ruiterskuilen;coordinates are centroid of used grid square;51.01990;5.49519;7071;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000029;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 10km grid;INBO:MEETNET:EVENT:000159;dragonfly population count;2016-05-07;data collected in the Maanwaterjuffer project;INBO:MEETNET:LOCATION:002731;Europe;BE;Kleine Ruiterskuilen;coordinates are centroid of used grid square;51.01990;5.49519;7071;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000028;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 10km grid;INBO:MEETNET:EVENT:000158;dragonfly population count;2016-05-09;data collected in the Maanwaterjuffer project;INBO:MEETNET:LOCATION:002732;Europe;BE;Zwart water ven ten noorden;coordinates are centroid of used grid square;51.39017;4.94031;7071;WGS84
